SNo,Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,candidate_link,constituency_id,constituency_name
1,Ealing Tallang,BJP,0,Graduate,47,"Rs 9,00,87,934 ~ 9 Crore+",Rs 0 ~,candidate.php?candidate_id=73,10,"EAST KAMENG 
		(Comparison Chart of Party Candidates)"
2,Tame Gyadi,INC,0,10th Pass,51,"Rs 3,99,97,651 ~ 3 Crore+",Rs 0 ~,candidate.php?candidate_id=72,10,"EAST KAMENG 
		(Comparison Chart of Party Candidates)"
1,Eri Tayu,IND,1,12th Pass,55,"Rs 1,20,62,292 ~ 1 Crore+",Rs 0 ~,candidate.php?candidate_id=99,41,"DIBANG VALLEY 
		(Comparison Chart of Party Candidates)"
2,Mopi Mihu,BJP,0,5th Pass,52,"Rs 21,21,23,116 ~ 21 Crore+",Rs 0 ~,candidate.php?candidate_id=12,41,"DIBANG VALLEY 
		(Comparison Chart of Party Candidates)"
1,Dasanglu Pul,BJP,0,12th Pass,46,"Rs 10,49,88,837 ~ 10 Crore+",Rs 0 ~,candidate.php?candidate_id=32,45,"ANJAW 
		(Comparison Chart of Party Candidates)"
1,Biri Joy,Peoples Party of Arunachal,1,Graduate,42,"Rs 1,90,00,000 ~ 1 Crore+",Rs 0 ~,candidate.php?candidate_id=105,49,"CHANGLANG 
		(Comparison Chart of Party Candidates)"
2,Madan Tanti,Arunachal Democratic Party,0,5th Pass,42,"Rs 40,000 ~ 40 Thou+",Rs 0 ~,candidate.php?candidate_id=103,49,"CHANGLANG 
		(Comparison Chart of Party Candidates)"
3,Nikh Kamin,NCP,3,Graduate,57,"Rs 1,53,31,43,903 ~ 153 Crore+",Rs 0 ~,candidate.php?candidate_id=107,49,"CHANGLANG 
		(Comparison Chart of Party Candidates)"
4,Somlung Mossang,BJP,0,10th Pass,54,"Rs 1,99,60,286 ~ 1 Crore+",Rs 0 ~,candidate.php?candidate_id=17,49,"CHANGLANG 
		(Comparison Chart of Party Candidates)"
5,Upen Chandra Deori,IND,0,Graduate Professional,60,,,candidate.php?candidate_id=108,49,"CHANGLANG 
		(Comparison Chart of Party Candidates)"
1,Chatu Longri,INC,0,Graduate,57,"Rs 1,72,76,325 ~ 1 Crore+",Rs 0 ~,candidate.php?candidate_id=55,50,"CHANGLANG 
		(Comparison Chart of Party Candidates)"
2,Kamlung Mosang,BJP,0,Graduate Professional,61,"Rs 8,19,34,416 ~ 8 Crore+",Rs 0 ~,candidate.php?candidate_id=144,50,"CHANGLANG 
		(Comparison Chart of Party Candidates)"
1,Izmir Tikhak,BJP,0,Graduate,60,"Rs 8,83,86,358 ~ 8 Crore+",Rs 0 ~,candidate.php?candidate_id=57,51,"CHANGLANG 
		(Comparison Chart of Party Candidates)"
2,Khimshom Mossang,INC,0,Graduate,34,"Rs 27,37,513 ~ 27 Lacs+","Rs 13,90,241 ~ 13 Lacs+",candidate.php?candidate_id=58,51,"CHANGLANG 
		(Comparison Chart of Party Candidates)"
3,Laisam Simai,IND,0,Graduate,49,"Rs 3,79,27,980 ~ 3 Crore+",Rs 0 ~,candidate.php?candidate_id=92,51,"CHANGLANG 
		(Comparison Chart of Party Candidates)"
1,Hamjong Tangha,BJP,0,8th Pass,47,"Rs 27,39,397 ~ 27 Lacs+",Rs 0 ~,candidate.php?candidate_id=1,52,"CHANGLANG 
		(Comparison Chart of Party Candidates)"
2,Salman Salnang Mungrey,NCP,0,Graduate Professional,33,"Rs 32,14,630 ~ 32 Lacs+","Rs 2,43,014 ~ 2 Lacs+",candidate.php?candidate_id=86,52,"CHANGLANG 
		(Comparison Chart of Party Candidates)"
3,Timpu Ngemu,National Peoples Party,0,12th Pass,37,"Rs 58,82,375 ~ 58 Lacs+","Rs 10,00,000 ~ 10 Lacs+",candidate.php?candidate_id=85,52,"CHANGLANG 
		(Comparison Chart of Party Candidates)"
1,Dihom Kitnya,National Peoples Party,0,12th Pass,36,"Rs 4,47,548 ~ 4 Lacs+",Rs 0 ~,candidate.php?candidate_id=112,53,"CHANGLANG 
		(Comparison Chart of Party Candidates)"
2,Marina Kenglang,INC,0,Graduate,51,"Rs 2,22,36,027 ~ 2 Crore+","Rs 21,77,215 ~ 21 Lacs+",candidate.php?candidate_id=21,53,"CHANGLANG 
		(Comparison Chart of Party Candidates)"
3,Nyasam Jongsam,NCP,0,Graduate,50,"Rs 42,13,499 ~ 42 Lacs+","Rs 20,00,000 ~ 20 Lacs+",candidate.php?candidate_id=20,53,"CHANGLANG 
		(Comparison Chart of Party Candidates)"
4,Tesam Pongte,BJP,0,Graduate,49,"Rs 5,46,69,468 ~ 5 Crore+",Rs 0 ~,candidate.php?candidate_id=19,53,"CHANGLANG 
		(Comparison Chart of Party Candidates)"
1,Doba Lamnio,BJP,4,5th Pass,43,"Rs 11,72,85,495 ~ 11 Crore+","Rs 93,60,000 ~ 93 Lacs+",candidate.php?candidate_id=100,8,"EAST KAMENG 
		(Comparison Chart of Party Candidates)"
2,Kumar Waii,INC,0,10th Pass,52,"Rs 40,76,22,213 ~ 40 Crore+","Rs 3,36,61,000 ~ 3 Crore+",candidate.php?candidate_id=13,8,"EAST KAMENG 
		(Comparison Chart of Party Candidates)"
1,Hayeng Mangfi,BJP,0,Graduate Professional,48,"Rs 38,08,16,587 ~ 38 Crore+","Rs 17,03,75,622 ~ 17 Crore+",candidate.php?candidate_id=23,9,"EAST KAMENG 
		(Comparison Chart of Party Candidates)"
2,Kompu Dolo,INC,0,12th Pass,62,"Rs 1,71,39,880 ~ 1 Crore+",Rs 0 ~,candidate.php?candidate_id=114,9,"EAST KAMENG 
		(Comparison Chart of Party Candidates)"
