SNo,Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,candidate_link,constituency_id,constituency_name
1,Aswini Kumar Patra,BJD,2,Post Graduate,73,"Rs 1,59,02,028 ~ 1 Crore+","Rs 30,00,000 ~ 30 Lacs+",candidate.php?candidate_id=1098,114,"BALASORE 
		(Comparison Chart of Party Candidates)"
2,Brajamohan Pradhan,BJP,11,Graduate,51,"Rs 29,10,209 ~ 29 Lacs+","Rs 46,000 ~ 46 Thou+",candidate.php?candidate_id=1099,114,"BALASORE 
		(Comparison Chart of Party Candidates)"
3,Dibyakam Mohanty,IND,0,Post Graduate,43,"Rs 80,80,813 ~ 80 Lacs+","Rs 18,00,911 ~ 18 Lacs+",candidate.php?candidate_id=1103,114,"BALASORE 
		(Comparison Chart of Party Candidates)"
4,Hemanta Kumar Sahu,Naba Bharata Nirmana Seva Party,0,10th Pass,45,"Rs 3,25,000 ~ 3 Lacs+",Rs 0 ~,candidate.php?candidate_id=1102,114,"BALASORE 
		(Comparison Chart of Party Candidates)"
5,Pradip Kumar Singha,"Proutist Bloc, India",0,10th Pass,52,,,candidate.php?candidate_id=1101,114,"BALASORE 
		(Comparison Chart of Party Candidates)"
6,Purna Chandra Singh,IND,0,12th Pass,35,"Rs 27,000 ~ 27 Thou+",Rs 0 ~,candidate.php?candidate_id=1104,114,"BALASORE 
		(Comparison Chart of Party Candidates)"
7,Ramakanta Jena,IND,0,Graduate Professional,51,"Rs 1,07,32,352 ~ 1 Crore+",Rs 0 ~,candidate.php?candidate_id=1105,114,"BALASORE 
		(Comparison Chart of Party Candidates)"
8,Sudarsan Das,INC,0,Post Graduate,58,"Rs 1,56,54,972 ~ 1 Crore+","Rs 4,49,000 ~ 4 Lacs+",candidate.php?candidate_id=1100,114,"BALASORE 
		(Comparison Chart of Party Candidates)"
1,Ashis Patra,BJP,0,Graduate,53,"Rs 3,36,16,702 ~ 3 Crore+","Rs 1,48,66,646 ~ 1 Crore+",candidate.php?candidate_id=1006,115,"BALASORE 
		(Comparison Chart of Party Candidates)"
2,Asit Kumar Chand,IND,0,Graduate,65,"Rs 79,80,542 ~ 79 Lacs+","Rs 6,17,055 ~ 6 Lacs+",candidate.php?candidate_id=1010,115,"BALASORE 
		(Comparison Chart of Party Candidates)"
3,Bhagaban Behera,Naba Bharata Nirmana Seva Party,0,12th Pass,45,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,candidate.php?candidate_id=1009,115,"BALASORE 
		(Comparison Chart of Party Candidates)"
4,Goutam Buddha Das,BJD,0,Post Graduate,52,"Rs 1,03,92,588 ~ 1 Crore+","Rs 37,87,440 ~ 37 Lacs+",candidate.php?candidate_id=1007,115,"BALASORE 
		(Comparison Chart of Party Candidates)"
5,Satya Shiba Das,INC,0,Post Graduate,49,,,candidate.php?candidate_id=1008,115,"BALASORE 
		(Comparison Chart of Party Candidates)"
1,Bijan Nayak,INC,0,Graduate,56,"Rs 13,61,000 ~ 13 Lacs+",Rs 0 ~,candidate.php?candidate_id=1049,116,"BALASORE 
		(Comparison Chart of Party Candidates)"
2,Jayakrushna Rout,IND,0,5th Pass,45,"Rs 4,20,535 ~ 4 Lacs+","Rs 1,90,000 ~ 1 Lacs+",candidate.php?candidate_id=1055,116,"BALASORE 
		(Comparison Chart of Party Candidates)"
3,Jayanti Dash,IND,0,10th Pass,39,"Rs 6,89,076 ~ 6 Lacs+","Rs 59,805 ~ 59 Thou+",candidate.php?candidate_id=1056,116,"BALASORE 
		(Comparison Chart of Party Candidates)"
4,Jharanarani Jena,IND,0,8th Pass,49,"Rs 1,000 ~ 1 Thou+",Rs 0 ~,candidate.php?candidate_id=1058,116,"BALASORE 
		(Comparison Chart of Party Candidates)"
5,Jyotshna Mohanty,IND,4,Graduate Professional,51,,,candidate.php?candidate_id=1057,116,"BALASORE 
		(Comparison Chart of Party Candidates)"
6,Kamini Kanta Behera,National Apni Party,0,5th Pass,33,"Rs 2,57,210 ~ 2 Lacs+","Rs 11,50,000 ~ 11 Lacs+",candidate.php?candidate_id=1052,116,"BALASORE 
		(Comparison Chart of Party Candidates)"
7,Narayan Majhi,Bharatiya Nyay-Adhikar Raksha Party,0,10th Pass,45,"Rs 23,000 ~ 23 Thou+",Rs 0 ~,candidate.php?candidate_id=1053,116,"BALASORE 
		(Comparison Chart of Party Candidates)"
8,Rabindra Nath Andia,BJP,6,Graduate,47,"Rs 5,14,49,149 ~ 5 Crore+","Rs 1,97,48,444 ~ 1 Crore+",candidate.php?candidate_id=1050,116,"BALASORE 
		(Comparison Chart of Party Candidates)"
9,Subasini Jena,BJD,0,12th Pass,57,"Rs 1,35,17,87,484 ~ 135 Crore+","Rs 29,24,46,695 ~ 29 Crore+",candidate.php?candidate_id=1051,116,"BALASORE 
		(Comparison Chart of Party Candidates)"
10,Swadhin Kumar Das,Bharatiya Bikash Parishad,0,Graduate,41,,,candidate.php?candidate_id=1054,116,"BALASORE 
		(Comparison Chart of Party Candidates)"
1,Bikram Keshari Panda,IND,2,Post Graduate,48,"Rs 1,22,28,951 ~ 1 Crore+","Rs 42,75,353 ~ 42 Lacs+",candidate.php?candidate_id=965,117,"BALASORE 
		(Comparison Chart of Party Candidates)"
2,Gopal Khandelwal,IND,0,12th Pass,60,"Rs 1,81,67,919 ~ 1 Crore+","Rs 5,00,000 ~ 5 Lacs+",candidate.php?candidate_id=964,117,"BALASORE 
		(Comparison Chart of Party Candidates)"
3,Manas Kumar Dutta,BJP,8,12th Pass,32,"Rs 37,01,565 ~ 37 Lacs+",Rs 0 ~,candidate.php?candidate_id=959,117,"BALASORE 
		(Comparison Chart of Party Candidates)"
4,Monalisa Samal,INC,0,Post Graduate,41,"Rs 1,58,94,020 ~ 1 Crore+","Rs 12,26,000 ~ 12 Lacs+",candidate.php?candidate_id=960,117,"BALASORE 
		(Comparison Chart of Party Candidates)"
5,Parshuram Lenka,Naba Bharata Nirmana Seva Party,0,Graduate,53,,,candidate.php?candidate_id=963,117,"BALASORE 
		(Comparison Chart of Party Candidates)"
6,Santosh Kumar Mohapatra,BSP,0,12th Pass,53,"Rs 51,86,000 ~ 51 Lacs+",Rs 0 ~,candidate.php?candidate_id=961,117,"BALASORE 
		(Comparison Chart of Party Candidates)"
7,Swarup Kumar Das,BJD,9,Graduate,54,"Rs 18,03,76,790 ~ 18 Crore+","Rs 1,05,29,308 ~ 1 Crore+",candidate.php?candidate_id=962,117,"BALASORE 
		(Comparison Chart of Party Candidates)"
1,Ajaya Kumar Pattanayak,CPI,0,Graduate Professional,58,"Rs 1,11,17,467 ~ 1 Crore+","Rs 13,80,000 ~ 13 Lacs+",candidate.php?candidate_id=1145,119,"BALASORE 
		(Comparison Chart of Party Candidates)"
2,Akshaya Kumar Acharya,INC,0,Graduate Professional,75,"Rs 5,81,10,527 ~ 5 Crore+","Rs 5,00,870 ~ 5 Lacs+",candidate.php?candidate_id=1141,119,"BALASORE 
		(Comparison Chart of Party Candidates)"
3,Arun Kumar Barik,Samruddha Odisha,0,Graduate,41,"Rs 6,28,970 ~ 6 Lacs+",Rs 0 ~,candidate.php?candidate_id=1146,119,"BALASORE 
		(Comparison Chart of Party Candidates)"
4,Gangadhar Nayak,National Apni Party,0,Graduate,34,"Rs 13,17,553 ~ 13 Lacs+",Rs 0 ~,candidate.php?candidate_id=1147,119,"BALASORE 
		(Comparison Chart of Party Candidates)"
5,Jogananda Dash,CPI(M),0,Graduate,62,,,candidate.php?candidate_id=1142,119,"BALASORE 
		(Comparison Chart of Party Candidates)"
6,Santosh Khatua,BJP,4,Post Graduate,56,"Rs 5,81,34,616 ~ 5 Crore+","Rs 1,07,21,378 ~ 1 Crore+",candidate.php?candidate_id=1143,119,"BALASORE 
		(Comparison Chart of Party Candidates)"
7,Sukanta Kumar Nayak,BJD,0,Graduate,58,"Rs 2,75,11,193 ~ 2 Crore+",Rs 0 ~,candidate.php?candidate_id=1144,119,"BALASORE 
		(Comparison Chart of Party Candidates)"
1,Bhupen Thamba,IND,1,12th Pass,48,"Rs 18,53,000 ~ 18 Lacs+",Rs 0 ~,candidate.php?candidate_id=876,80,"ANGUL 
		(Comparison Chart of Party Candidates)"
2,Bijaya Kumar Naik,Ambedkarite Party of India,0,12th Pass,50,"Rs 7,95,000 ~ 7 Lacs+","Rs 12,27,000 ~ 12 Lacs+",candidate.php?candidate_id=874,80,"ANGUL 
		(Comparison Chart of Party Candidates)"
3,Braja Kishore Pradhan,BJD,31,12th Pass,49,"Rs 77,86,623 ~ 77 Lacs+","Rs 16,47,094 ~ 16 Lacs+",candidate.php?candidate_id=871,80,"ANGUL 
		(Comparison Chart of Party Candidates)"
4,Kalandi Charan Samal,BJP,5,Graduate,49,"Rs 1,87,92,704 ~ 1 Crore+",Rs 0 ~,candidate.php?candidate_id=869,80,"ANGUL 
		(Comparison Chart of Party Candidates)"
5,Manoj Kumar Jena,All India Forward Bloc,0,Graduate,48,,,candidate.php?candidate_id=875,80,"ANGUL 
		(Comparison Chart of Party Candidates)"
6,Prafulla Chandra Das,INC,0,12th Pass,42,"Rs 61,47,011 ~ 61 Lacs+",Rs 0 ~,candidate.php?candidate_id=870,80,"ANGUL 
		(Comparison Chart of Party Candidates)"
7,Prahlada Chandra Sahoo,SUCI(C),0,12th Pass,57,"Rs 6,37,180 ~ 6 Lacs+",Rs 0 ~,candidate.php?candidate_id=873,80,"ANGUL 
		(Comparison Chart of Party Candidates)"
8,Rupak Kumar Pani,IND,0,Graduate,47,"Rs 71,12,146 ~ 71 Lacs+","Rs 10,00,000 ~ 10 Lacs+",candidate.php?candidate_id=877,80,"ANGUL 
		(Comparison Chart of Party Candidates)"
9,Santosh Kumar Sahu,IND,3,Post Graduate,54,"Rs 99,50,745 ~ 99 Lacs+","Rs 1,74,395 ~ 1 Lacs+",candidate.php?candidate_id=878,80,"ANGUL 
		(Comparison Chart of Party Candidates)"
10,Sarbeswar Naik,BSP,0,10th Pass,45,,,candidate.php?candidate_id=872,80,"ANGUL 
		(Comparison Chart of Party Candidates)"
1,Ashok Mohanty,BJP,8,Post Graduate,57,"Rs 71,67,132 ~ 71 Lacs+","Rs 8,00,000 ~ 8 Lacs+",candidate.php?candidate_id=789,81,"ANGUL 
		(Comparison Chart of Party Candidates)"
2,Fakir Mohan Samal,INC,0,Graduate,77,"Rs 1,87,14,147 ~ 1 Crore+","Rs 87,950 ~ 87 Thou+",candidate.php?candidate_id=791,81,"ANGUL 
		(Comparison Chart of Party Candidates)"
3,Jagannath Dehury,Manas Lokshakti Dal,0,10th Pass,30,"Rs 12,200 ~ 12 Thou+",Rs 0 ~,candidate.php?candidate_id=793,81,"ANGUL 
		(Comparison Chart of Party Candidates)"
4,Jugal Kishor Jit,IND,0,12th Pass,46,"Rs 23,41,600 ~ 23 Lacs+","Rs 1,05,000 ~ 1 Lacs+",candidate.php?candidate_id=795,81,"ANGUL 
		(Comparison Chart of Party Candidates)"
5,Khageswar Naik,BSP,0,Graduate,38,,,candidate.php?candidate_id=790,81,"ANGUL 
		(Comparison Chart of Party Candidates)"
6,Mukesh Kumar Pal,BJD,0,Graduate,41,"Rs 2,11,75,188 ~ 2 Crore+","Rs 20,84,717 ~ 20 Lacs+",candidate.php?candidate_id=792,81,"ANGUL 
		(Comparison Chart of Party Candidates)"
7,Paramananda Sahoo,SUCI(C),0,Graduate,40,"Rs 2,23,342 ~ 2 Lacs+",Rs 0 ~,candidate.php?candidate_id=794,81,"ANGUL 
		(Comparison Chart of Party Candidates)"
8,Satyaprakash Mishra,IND,0,12th Pass,26,"Rs 59,37,500 ~ 59 Lacs+","Rs 1,00,000 ~ 1 Lacs+",candidate.php?candidate_id=796,81,"ANGUL 
		(Comparison Chart of Party Candidates)"
1,Ambika Bhatta,INC,0,Graduate Professional,63,"Rs 21,11,77,352 ~ 21 Crore+","Rs 1,34,02,529 ~ 1 Crore+",candidate.php?candidate_id=524,82,"ANGUL 
		(Comparison Chart of Party Candidates)"
2,Babula Sahu,IND,0,8th Pass,32,"Rs 13,96,147 ~ 13 Lacs+",Rs 0 ~,candidate.php?candidate_id=529,82,"ANGUL 
		(Comparison Chart of Party Candidates)"
3,Braja Kishore Nahak,IND,0,10th Pass,45,"Rs 24,85,000 ~ 24 Lacs+","Rs 74,480 ~ 74 Thou+",candidate.php?candidate_id=530,82,"ANGUL 
		(Comparison Chart of Party Candidates)"
4,Harihara Naik,Republican Party of India (Athawale),0,Graduate,33,"Rs 4,39,762 ~ 4 Lacs+","Rs 2,00,000 ~ 2 Lacs+",candidate.php?candidate_id=528,82,"ANGUL 
		(Comparison Chart of Party Candidates)"
5,Mandodari Raul,SUCI(C),0,12th Pass,45,,,candidate.php?candidate_id=527,82,"ANGUL 
		(Comparison Chart of Party Candidates)"
6,Pratap Chandra Pradhan,BJP,5,Graduate,54,"Rs 94,31,779 ~ 94 Lacs+","Rs 24,49,480 ~ 24 Lacs+",candidate.php?candidate_id=525,82,"ANGUL 
		(Comparison Chart of Party Candidates)"
7,Sanjukta Singh,BJD,0,Graduate,57,"Rs 3,25,17,635 ~ 3 Crore+","Rs 14,26,143 ~ 14 Lacs+",candidate.php?candidate_id=526,82,"ANGUL 
		(Comparison Chart of Party Candidates)"
8,Santosh Kumar Naik,IND,0,5th Pass,34,"Rs 10,70,000 ~ 10 Lacs+",Rs 0 ~,candidate.php?candidate_id=531,82,"ANGUL 
		(Comparison Chart of Party Candidates)"
1,Agasti Behera,BJP,2,Post Graduate,48,"Rs 36,66,194 ~ 36 Lacs+","Rs 10,49,453 ~ 10 Lacs+",candidate.php?candidate_id=640,83,"ANGUL 
		(Comparison Chart of Party Candidates)"
2,Bharat Kumar Naik,SUCI(C),0,12th Pass,41,"Rs 2,98,656 ~ 2 Lacs+","Rs 45,000 ~ 45 Thou+",candidate.php?candidate_id=643,83,"ANGUL 
		(Comparison Chart of Party Candidates)"
3,Narottam Nayak,INC,1,Graduate,45,"Rs 1,50,95,000 ~ 1 Crore+","Rs 1,08,541 ~ 1 Lacs+",candidate.php?candidate_id=641,83,"ANGUL 
		(Comparison Chart of Party Candidates)"
