Anchor Href,Constituency_id
index.php?action=show_candidates&constituency_id=32,32
index.php?action=show_candidates&constituency_id=21,21
index.php?action=show_candidates&constituency_id=22,22
index.php?action=show_candidates&constituency_id=17,17
index.php?action=show_candidates&constituency_id=19,19
index.php?action=show_candidates&constituency_id=18,18
index.php?action=show_candidates&constituency_id=23,23
index.php?action=show_candidates&constituency_id=20,20
index.php?action=show_candidates&constituency_id=4,4
index.php?action=show_candidates&constituency_id=3,3
index.php?action=show_candidates&constituency_id=2,2
index.php?action=show_candidates&constituency_id=1,1
index.php?action=show_candidates&constituency_id=25,25
index.php?action=show_candidates&constituency_id=24,24
index.php?action=show_candidates&constituency_id=26,26
index.php?action=show_candidates&constituency_id=9,9
index.php?action=show_candidates&constituency_id=12,12
index.php?action=show_candidates&constituency_id=11,11
index.php?action=show_candidates&constituency_id=13,13
index.php?action=show_candidates&constituency_id=10,10
index.php?action=show_candidates&constituency_id=15,15
index.php?action=show_candidates&constituency_id=14,14
index.php?action=show_candidates&constituency_id=16,16
index.php?action=show_candidates&constituency_id=29,29
index.php?action=show_candidates&constituency_id=30,30
index.php?action=show_candidates&constituency_id=31,31
index.php?action=show_candidates&constituency_id=28,28
index.php?action=show_candidates&constituency_id=27,27
index.php?action=show_candidates&constituency_id=6,6
index.php?action=show_candidates&constituency_id=5,5
index.php?action=show_candidates&constituency_id=8,8
index.php?action=show_candidates&constituency_id=7,7
