SNo,Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,candidate_link,constituency_id,constituency_name
1,Chetan Sapkota,BJP,0,12th Pass,40,"Rs 27,15,592 ~ 27 Lacs+",Rs 0 ~,candidate.php?candidate_id=48,17,Election Summary
2,Mani Kumar Sharma,Sikkim Democratic Front,1,Doctorate,53,"Rs 14,27,78,965 ~ 14 Crore+","Rs 1,36,22,769 ~ 1 Crore+",candidate.php?candidate_id=52,17,Election Summary
3,Nar Bahadur Dahal,Sikkim Krantikari Morcha,0,Graduate,58,"Rs 74,10,91,903 ~ 74 Crore+","Rs 19,01,50,431 ~ 19 Crore+",candidate.php?candidate_id=51,17,Election Summary
4,Sumati Chettri,Citizen Action Party-Sikkim,0,12th Pass,54,"Rs 1,94,40,533 ~ 1 Crore+",Rs 0 ~,candidate.php?candidate_id=50,17,Election Summary
5,Tanka Nath Adhikari,INC,0,10th Pass,39,,,candidate.php?candidate_id=49,17,Election Summary
1,Karma Tashi Bhutia,INC,0,Post Graduate,48,"Rs 3,67,169 ~ 3 Lacs+",Rs 0 ~,candidate.php?candidate_id=105,18,Election Summary
2,Kunga Nima Lepcha,Sikkim Krantikari Morcha,0,Graduate,77,"Rs 19,20,60,699 ~ 19 Crore+",Rs 0 ~,candidate.php?candidate_id=108,18,Election Summary
3,Pempo Dorjee Lepcha,BJP,0,Graduate,40,"Rs 4,49,61,822 ~ 4 Crore+","Rs 9,63,237 ~ 9 Lacs+",candidate.php?candidate_id=106,18,Election Summary
4,Sonam Tshering Lepcha,Citizen Action Party-Sikkim,0,Graduate,51,"Rs 1,02,92,926 ~ 1 Crore+",Rs 0 ~,candidate.php?candidate_id=107,18,Election Summary
5,Tenzing Norbu Lamtha,Sikkim Democratic Front,0,Others,49,,,candidate.php?candidate_id=109,18,Election Summary
1,Chewang Dadul Bhutia,BJP,0,12th Pass,56,"Rs 27,53,29,472 ~ 27 Crore+","Rs 1,01,12,269 ~ 1 Crore+",candidate.php?candidate_id=59,19,Election Summary
2,Ganga Lepcha,INC,0,10th Pass,40,"Rs 1,16,119 ~ 1 Lacs+","Rs 90,000 ~ 90 Thou+",candidate.php?candidate_id=58,19,Election Summary
3,Karma Tshering Bhutia,Citizen Action Party-Sikkim,0,Not Given,54,"Rs 32,12,66,082 ~ 32 Crore+","Rs 3,15,81,052 ~ 3 Crore+",candidate.php?candidate_id=60,19,Election Summary
4,Mechung Bhutia,Sikkim Democratic Front,0,Graduate Professional,46,"Rs 89,04,489 ~ 89 Lacs+","Rs 6,55,440 ~ 6 Lacs+",candidate.php?candidate_id=62,19,Election Summary
5,Sonam Tsh. Venchungpa,Sikkim Krantikari Morcha,0,Post Graduate,52,,,candidate.php?candidate_id=61,19,Election Summary
1,Dr. Chandra Bahadur Chettri,Sikkim Democratic Front,0,Doctorate,42,"Rs 12,50,59,414 ~ 12 Crore+","Rs 27,32,651 ~ 27 Lacs+",candidate.php?candidate_id=131,20,Election Summary
2,G.T. Dhungel,Sikkim Krantikari Morcha,0,Graduate Professional,64,"Rs 8,55,39,544 ~ 8 Crore+",Rs 0 ~,candidate.php?candidate_id=132,20,Election Summary
3,Kailash Chandra Pradhan,IND,0,Others,60,"Rs 6,67,40,986 ~ 6 Crore+",Rs 0 ~,candidate.php?candidate_id=130,20,Election Summary
4,Niren Bhandari,BJP,0,Graduate,49,"Rs 4,72,06,480 ~ 4 Crore+","Rs 2,75,000 ~ 2 Lacs+",candidate.php?candidate_id=128,20,Election Summary
5,Ravi Gurung,Citizen Action Party-Sikkim,0,12th Pass,48,,,candidate.php?candidate_id=129,20,Election Summary
