Name (Party),Total Assets in AndhraPradesh 2024,Total Assets in AndhraPradesh 2019,Asset Increase,% Increase in Asset,Date
Chandrababu Naidu Nara (TDP),"9,31,83,70,656931 Crore+","6,68,57,50,975668 Crore+","2,63,26,19,681263 Crore+",39%,30/05/2024 12:55:11
Yeluri Sambasiva Rao (TDP),"2,95,80,24,437295 Crore+","41,90,17,44741 Crore+","2,53,90,06,990253 Crore+",606%,30/05/2024 12:55:11
Ys Jagan Mohan Reddy (YSRCP),"7,57,65,03,781757 Crore+","5,10,38,16,566510 Crore+","2,47,26,87,215247 Crore+",48%,30/05/2024 12:55:11
Nandamuri Balakrishna (TDP),"4,82,96,80,954482 Crore+","2,74,08,87,314274 Crore+","2,08,87,93,640208 Crore+",76%,30/05/2024 12:55:11
Vamsi Vallabhaneni (YSRCP),"1,98,42,31,785198 Crore+","83,74,00,80583 Crore+","1,14,68,30,980114 Crore+",137%,30/05/2024 12:55:11
Peddireddi Ramachandra Reddy (YSRCP),"2,35,40,14,889235 Crore+","1,30,97,83,927130 Crore+","1,04,42,30,962104 Crore+",80%,30/05/2024 12:55:11
Vikram Reddy Mekapati (YSRCP),"2,09,25,22,324209 Crore+","1,26,62,12,625126 Crore+","82,63,09,69982 Crore+",65%,30/05/2024 12:55:11
Vasantha Venkata Krishna Prasad (TDP),"1,88,88,26,613188 Crore+","1,19,55,24,003119 Crore+","69,33,02,61069 Crore+",58%,30/05/2024 12:55:11
Silpa Chakrapani Reddy (YSRCP),"1,31,71,19,795131 Crore+","68,49,90,68068 Crore+","63,21,29,11563 Crore+",92%,30/05/2024 12:55:11
Grandhi Srinivas (YSRCP),"1,00,93,27,199100 Crore+","39,37,10,19439 Crore+","61,56,17,00561 Crore+",156%,30/05/2024 12:55:11
Srinivas Naidu Geddam (YSRCP),"92,20,29,52892 Crore+","34,23,56,23434 Crore+","57,96,73,29457 Crore+",169%,30/05/2024 12:55:11
Kolagatla Veerabhadra Swamy (YSRCP),"53,48,63,07453 Crore+","13,71,10,65013 Crore+","39,77,52,42439 Crore+",290%,30/05/2024 12:55:11
Dadisetti Raja (YSRCP),"52,67,56,01452 Crore+","15,51,08,65815 Crore+","37,16,47,35637 Crore+",240%,30/05/2024 12:55:11
Madhu Sudhanrao Burra (YSRCP),"73,71,96,00073 Crore+","37,36,52,00037 Crore+","36,35,44,00036 Crore+",97%,30/05/2024 12:55:11
Katasani Ramabhupal Reddy (YSRCP),"75,20,18,29675 Crore+","39,11,76,28239 Crore+","36,08,42,01436 Crore+",92%,30/05/2024 12:55:11
Dwarampudi Chandrasekhara Reddy (YSRCP),"77,43,39,00077 Crore+","42,89,15,00042 Crore+","34,54,24,00034 Crore+",81%,30/05/2024 12:55:11
Jogeswara Rao.V (TDP),"69,32,84,93369 Crore+","36,03,76,06836 Crore+","33,29,08,86533 Crore+",92%,30/05/2024 12:55:11
Ramakrishna Reddy. Pinnelli (YSRCP),"38,35,22,60238 Crore+","6,31,89,1726 Crore+","32,03,33,43032 Crore+",507%,30/05/2024 12:55:11
S. Ravi Chandra Kishore Reddy (YSRCP),"83,36,77,00883 Crore+","51,87,77,09151 Crore+","31,48,99,91731 Crore+",61%,30/05/2024 12:55:11
