Name,Age,Party Code,Criminal Cases,Education Level,Movable Assets,Immovable Assets,Total Assets,Total Liabilities,PAN Given(Y/N),candidate_link,constituency_id,constituency_name
Ashok Bendalam,42,TDP,Yes   2,Doctorate,,"97,00,000~ 97 Lacs+",,"33,42,304~ 33 Lacs+",Y,http://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2372,1,ICHCHAPURAM
Baddi Mukhalingam,47,Bharatha Chaitanya Yuvajana Party,No,8th Pass,,"10,33,500~ 10 Lacs+",,"4,85,272~ 4 Lacs+",Y,http://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2248,1,ICHCHAPURAM
Bisai Vedavara,64,BSP,No,10th Pass,,"7,00,000~ 7 Lacs+",,0~,Y,http://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=375,1,ICHCHAPURAM
Jannela Surya Vara Prasada Rao,72,IND,No,Graduate,,"45,00,000~ 45 Lacs+",,"10,00,000~ 10 Lacs+",Y,http://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2246,1,ICHCHAPURAM
Labala Viswanadham,42,Jaibhim Rao Bharat Party,No,Graduate,,"8,00,000~ 8 Lacs+",,"11,60,000~ 11 Lacs+",Y,http://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2247,1,ICHCHAPURAM
Masupatri Chakravarthi Reddy,49,INC,No,12th Pass,,0~,,0~,Y,http://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2245,1,ICHCHAPURAM
Murapala Lakshmi,34,IND,No,Graduate,,"3,74,000~ 3 Lacs+",,0~,Y,http://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2249,1,ICHCHAPURAM
Piriya Vijaya,46,YSRCP,No,12th Pass,,"6,44,73,340~ 6 Crore+",,"6,51,87,167~ 6 Crore+",Y,http://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=455,1,ICHCHAPURAM
Suggu Chakravarthi,39,IND,No,8th Pass,,"10,00,000~ 10 Lacs+",,0~,N,http://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2250,1,ICHCHAPURAM
Biddika Uma Maheswara Rao,34,Gondwana Dandkaranya Party,Yes   2,Others,,"2,10,000~ 2 Lacs+",,0~,Y,http://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=1064,10,PALAKONDA (ST)
Chanti Babu Savara,30,INC,No,Graduate,,"5,10,000~ 5 Lacs+",,"37,90,540~ 37 Lacs+",Y,http://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=1065,10,PALAKONDA (ST)
Jaipalu Kadraka,75,Navarang Congress Party,No,Illiterate,,"7,50,000~ 7 Lacs+",,"3,07,288~ 3 Lacs+",N,http://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=1061,10,PALAKONDA (ST)
Jayakrishna Nimmaka,45,Janasena Party,Yes   6,Post Graduate,,"56,30,810~ 56 Lacs+",,"12,60,000~ 12 Lacs+",Y,http://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=1059,10,PALAKONDA (ST)
Krishna Nimmaka,40,Jatiya Jana Sena Party,Yes   1,12th Pass,,0~,,0~,Y,http://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=1062,10,PALAKONDA (ST)
Viswasarayi Kalavathi,59,YSRCP,No,Post Graduate,,"1,06,29,000~ 1 Crore+",,"7,22,199~ 7 Lacs+",Y,http://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=136,10,PALAKONDA (ST)
Vooyaka. Bhanu Chandar,36,BSP,No,Graduate,,0~,,0~,Y,http://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=1060,10,PALAKONDA (ST)
Altaf Hussain Shaik,51,IUML,No,10th Pass,,0~,,0~,Y,http://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2395,100,GUNTUR EAST
Dr. Vahed,37,IND,No,Doctorate,,"14,00,000~ 14 Lacs+",,"10,00,000~ 10 Lacs+",Y,http://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2401,100,GUNTUR EAST
Durrey Shahawar Shaik,52,IND,No,5th Pass,,"42,73,97,720~ 42 Crore+",,"6,09,53,842~ 6 Crore+",Y,http://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2400,100,GUNTUR EAST
Gudavalli Manikumari,57,BSP,No,Post Graduate,,0~,,0~,Y,http://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=289,100,GUNTUR EAST
Haroon Rasheed Shaik,64,IND,No,5th Pass,,"40,00,000~ 40 Lacs+",,0~,Y,http://myneta.info/AndhraPradesh2024/candidate.php?candidate_id=2404,100,GUNTUR EAST
