Name,Age,Party Code,Criminal Cases,Education Level,Movable Assets,Immovable Assets,Total Assets,Total Liabilities,PAN Given(Y/N),candidate_link,constituency_id,constituency_name
Jampa Thirnly Kunkhap,38,INC,No,Doctorate,,"2,79,245~ 2 Lacs+",,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=50,1,LUMLA (ST)
Tsering Lhamu,50,BJP,No,Post Graduate,,"47,91,77,008~ 47 Crore+",,"35,08,786~ 35 Lacs+",Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=51,1,LUMLA (ST)
Ealing Tallang,47,BJP,No,Graduate,,"7,84,65,000~ 7 Crore+",,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=73,10,SEPPA EAST (ST)
Tame Gyadi,51,INC,No,10th Pass,,"3,07,00,000~ 3 Crore+",,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=72,10,SEPPA EAST (ST)
Mama Natung,52,BJP,No,10th Pass,,"10,01,35,000~ 10 Crore+",,"5,36,79,684~ 5 Crore+",Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=75,11,SEPPA WEST (ST)
Tani Loffa,58,National Peoples Party,No,12th Pass,,"1,18,00,000~ 1 Crore+",,"46,43,302~ 46 Lacs+",Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=74,11,SEPPA WEST (ST)
Biyuram Wahge,59,BJP,No,10th Pass,,"11,05,00,000~ 11 Crore+",,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=94,12,PAKKE-KASANG (ST)
Dongli Gollo,33,Lok Janshakti Party(Ram Vilas),No,Post Graduate,,"21,05,00,000~ 21 Crore+",,"27,30,474~ 27 Lacs+",Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=93,12,PAKKE-KASANG (ST)
Gollo Yapung Tana,45,INC,No,10th Pass,,0~,,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=148,12,PAKKE-KASANG (ST)
Techi Hemu,56,NCP,No,12th Pass,,"20,60,97,374~ 20 Crore+",,"7,50,000~ 7 Lacs+",Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=149,12,PAKKE-KASANG (ST)
Techi Kaso,66,BJP,No,Illiterate,,"39,42,02,840~ 39 Crore+",,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=34,13,ITANAGAR (ST)
Nabam Tado,39,INC,No,10th Pass,,"1,10,00,000~ 1 Crore+",,"36,00,000~ 36 Lacs+",Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=87,14,DOIMUKH (ST)
Nabam Vivek,51,Peoples Party of Arunachal,No,Post Graduate,,"5,07,44,500~ 5 Crore+",,"2,43,00,000~ 2 Crore+",Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=88,14,DOIMUKH (ST)
Tana Hali Tara,56,BJP,No,10th Pass,,"81,28,11,000~ 81 Crore+",,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=89,14,DOIMUKH (ST)
Taba Tedir,60,BJP,No,Graduate Professional,,"7,81,00,000~ 7 Crore+",,"2,90,37,637~ 2 Crore+",Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=178,16,YACHULI (ST)
Toko Tatung,47,NCP,No,Graduate,,"39,34,00,000~ 39 Crore+",,"9,83,65,496~ 9 Crore+",Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=97,16,YACHULI (ST)
Hage Appa,62,BJP,No,Graduate Professional,,"16,98,68,800~ 16 Crore+",,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=84,17,ZIRO-HAPOLI (ST)
Balo Raja,54,BJP,No,Graduate,,"9,95,00,000~ 9 Crore+",,"60,36,402~ 60 Lacs+",Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=64,18,PALIN (ST)
Mayu Taring,39,National Peoples Party,No,Post Graduate,,"1,09,62,37,250~ 109 Crore+",,"1,63,25,386~ 1 Crore+",Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=63,18,PALIN (ST)
Tarh Johny,35,INC,No,Graduate,,0~,,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=150,18,PALIN (ST)
Tadar Mangku,53,Peoples Party of Arunachal,No,Graduate Professional,,"25,21,69,025~ 25 Crore+",,"2,76,50,364~ 2 Crore+",Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=173,19,NYAPIN (ST)
Tai Nikio,54,BJP,Yes   5,10th Pass,,"23,91,66,500~ 23 Crore+",,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=174,19,NYAPIN (ST)
Namgey Tsering,42,National Peoples Party,No,12th Pass,,"15,13,11,600~ 15 Crore+",,"32,61,566~ 32 Lacs+",Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=78,2,TAWANG (ST)
Tsering Dorjee,57,BJP,No,Illiterate,,"7,05,00,000~ 7 Crore+",,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=8,2,TAWANG (ST)
Jikke Tako,42,BJP,No,Post Graduate,,"3,05,00,000~ 3 Crore+",,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=76,20,TALI (ST)
Kahfa Bengia,59,Peoples Party of Arunachal,No,10th Pass,,"8,81,00,000~ 8 Crore+",,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=175,21,KOLORIANG (ST)
Pani Taram,49,BJP,Yes   3,Graduate,,0~,,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=134,21,KOLORIANG (ST)
Nakap Nalo,49,BJP,No,Post Graduate,,"2,85,00,000~ 2 Crore+",,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=56,22,NACHO (ST)
Tanga Byaling,76,INC,No,Illiterate,,"44,46,35,000~ 44 Crore+",,"4,23,086~ 4 Lacs+",Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=145,22,NACHO (ST)
Nyato Dukam,58,BJP,No,Graduate,,"3,39,00,000~ 3 Crore+",,"48,00,000~ 48 Lacs+",Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=77,23,TALIHA (ST)
Dikto Yekar,37,National Peoples Party,No,10th Pass,,"15,00,000~ 15 Lacs+",,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=117,24,DAPORIJO (ST)
Reri Kirbe Dulom,36,INC,No,Graduate,,"7,50,00,000~ 7 Crore+",,"3,00,000~ 3 Lacs+",Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=27,24,DAPORIJO (ST)
Taniya Soki,58,BJP,No,Graduate Professional,,"11,15,00,000~ 11 Crore+",,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=26,24,DAPORIJO (ST)
Ajay Murtem,47,National Peoples Party,No,Graduate Professional,,"4,39,40,000~ 4 Crore+",,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=95,25,RAGA (ST)
Rotom Tebin,59,BJP,Yes   1,Graduate Professional,,"7,27,43,880~ 7 Crore+",,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=162,25,RAGA (ST)
Rode Bui,52,BJP,Yes   2,10th Pass,,"67,00,000~ 67 Lacs+",,"20,77,642~ 20 Lacs+",Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=30,26,DUMPORIJO (ST)
Tabe Doni,59,National Peoples Party,No,Graduate Professional,,"14,53,18,000~ 14 Crore+",,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=31,26,DUMPORIJO (ST)
Nyamar Karbak,44,BJP,No,Post Graduate,,"2,10,00,000~ 2 Crore+",,"95,00,000~ 95 Lacs+",Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=47,27,LIROMOBA (ST)
Pesi Jilen,55,National Peoples Party,No,12th Pass,,"10,30,00,000~ 10 Crore+",,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=48,27,LIROMOBA (ST)
Kardo Nyigyor,50,BJP,Yes   1,10th Pass,,"13,67,56,290~ 13 Crore+",,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=46,28,LIKABALI (ST)
Moli Riba,38,IND,No,Graduate Professional,,"2,68,24,000~ 2 Crore+",,"1,05,73,459~ 1 Crore+",Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=45,28,LIKABALI (ST)
Gokar Basar,37,National Peoples Party,No,Graduate,,"88,00,000~ 88 Lacs+",,0~,Y,http://myneta.info/ArunachalPradesh2024/candidate.php?candidate_id=14,29,BASAR (ST)
