Candidate URL,Name,Total Assets in LokSabha 2023,Total Assets in LokSabha 2019,Asset Increase,Increase in Asset,Date
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5225&id2=4846,Dr Gaddam Ranjith Reddy (INC),"4,35,49,09,793435 Crore+","1,63,46,95,131163 Crore+","2,72,02,14,662272 Crore+",166%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=1873&id2=7321,D K Suresh (INC),"5,93,05,25,395593 Crore+","3,38,89,20,717338 Crore+","2,54,16,04,678254 Crore+",75%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5028&id2=8019,Poonamben Hematbhai Maadam (BJP),"1,47,70,02,341147 Crore+","42,73,31,03442 Crore+","1,04,96,71,307104 Crore+",246%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5280&id2=5051,Pocha Brahmananda Reddy (YSRCP),"1,47,74,74,610147 Crore+","58,59,32,91158 Crore+","89,15,41,69989 Crore+",152%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=7176&id2=11266,Anurag Sharma (BJP),"2,12,07,65,800212 Crore+","1,24,30,60,113124 Crore+","87,77,05,68787 Crore+",71%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5123&id2=4626,P V Midhun Reddy (YSRCP),"1,46,85,01,685146 Crore+","66,50,85,70166 Crore+","80,34,15,98480 Crore+",121%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=8448&id2=12158,Rao Inderjit Singh (BJP),"1,21,54,22,868121 Crore+","42,09,70,75442 Crore+","79,44,52,11479 Crore+",189%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=3833&id2=7769,Ranjeetsingh Hindurao Naik Nimbalkar (BJP),"2,05,82,58,375205 Crore+","1,27,51,60,578127 Crore+","78,30,97,79778 Crore+",61%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5179&id2=14332,Shatrughan Prasad Sinha (AITC),"2,10,50,41,638210 Crore+","1,32,74,55,927132 Crore+","77,75,85,71177 Crore+",59%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=3920&id2=7388,Mohammed Badruddin Ajmal (All India United Democratic Front),"1,55,07,16,648155 Crore+","78,80,64,04478 Crore+","76,26,52,60476 Crore+",97%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=343&id2=4781,Vincent H. Pala (INC),"1,25,81,59,331125 Crore+","54,95,15,42154 Crore+","70,86,43,91070 Crore+",129%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=241&id2=10339,Nakul Nath (INC),"7,16,94,05,139716 Crore+","6,60,19,46,757660 Crore+","56,74,58,38256 Crore+",9%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=4643&id2=7778,Sanjay (Kaka) Patil (BJP),"75,77,76,67275 Crore+","19,11,92,18719 Crore+","56,65,84,48556 Crore+",296%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5298&id2=7210,Nama Nageswara Rao (BRS),"1,55,90,58,791155 Crore+","1,07,46,71,341107 Crore+","48,43,87,45048 Crore+",45%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=8078&id2=12426,Maneka Sanjay Gandhi (BJP),"97,17,79,47997 Crore+","55,69,26,45155 Crore+","41,48,53,02841 Crore+",74%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=234&id2=8952,K Navaskani (Indian Union Muslim League),"76,14,30,42076 Crore+","36,47,38,17136 Crore+","39,66,92,24939 Crore+",109%,05/06/2024 23:24:59
