Name,Age,Party Code,Criminal Cases,Education Level,Movable Assets,Immovable Assets,Total Assets,Total Liabilities,PAN Given(Y/N),candidate_link,constituency_id,constituency_name
Appalanarasa Pachipenta,41,CPI(M),Yes   4,Post Graduate,,"13,50,000~ 13 Lacs+",,"2,43,125~ 2 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=5100,1,ARAKU (ST)
Athidhi,32,IND,No,Graduate,,0~,,"17,93,245~ 17 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=6022,1,ARAKU (ST)
Avashya Lahari . Varam,30,BSP,No,Graduate Professional,,"35,29,600~ 35 Lacs+",,"16,27,956~ 16 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=6040,1,ARAKU (ST)
Chanti Badnaina,28,Jai Bharat National Party,No,12th Pass,,"1,00,000~ 1 Lacs+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=6028,1,ARAKU (ST)
Gumma Thanuja Rani,31,YSRCP,No,Graduate Professional,,"6,00,000~ 6 Lacs+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=5099,1,ARAKU (ST)
Kothapalli Geetha,53,BJP,Yes   2,Post Graduate,,"6,97,00,000~ 6 Crore+",,"11,76,54,232~ 11 Crore+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=5098,1,ARAKU (ST)
Mandala Giridhara Rao,42,IND,No,Graduate Professional,,0~,,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=6024,1,ARAKU (ST)
Mottadam . Rajababu,47,Bharat Adivasi Party,No,Graduate Professional,,0~,Nil,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=6025,1,ARAKU (ST)
Nimmaka Jayaraju,64,IND,No,12th Pass,,"74,00,000~ 74 Lacs+",,"32,28,000~ 32 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=6027,1,ARAKU (ST)
Rambabu Jalli,49,Telugu Rajadhikara Samiti Party,No,10th Pass,,"8,00,000~ 8 Lacs+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=6029,1,ARAKU (ST)
Ranjith Kumar Palaka,42,IND,No,Graduate,,0~,,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=6041,1,ARAKU (ST)
Samareddy Balakrishna,49,IND,No,Post Graduate,,"2,73,47,000~ 2 Crore+",,"17,27,914~ 17 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=6023,1,ARAKU (ST)
Vuyaka Nireekshan (V. Chenchu),44,India Praja Bandhu Party,No,10th Pass,,"2,54,500~ 2 Lacs+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=6026,1,ARAKU (ST)
Agasteen Kommina,41,IND,No,5th Pass,,"6,00,000~ 6 Lacs+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=6113,10,ELURU
Ajay Babu Boda,32,Navarang Congress Party,No,10th Pass,,0~,,"2,40,000~ 2 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=6106,10,ELURU
Bokinala Koteswara Rao,42,IND,No,Post Graduate,,"13,02,125~ 13 Lacs+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=6115,10,ELURU
Byraboyina Malyadri,55,Bharatha Chaitanya Yuvajana Party,No,5th Pass,,"1,10,00,000~ 1 Crore+",,"79,70,000~ 79 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=6111,10,ELURU
Dr. Mendem Santhosh Kumar (Pedda Babulu),49,Liberation Congress Party,No,Others,,0~,,"2,00,000~ 2 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=6112,10,ELURU
Godugupati Veera Raghavulu,51,Pyramid Party of India,No,10th Pass,,0~,,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=6109,10,ELURU
Kandavalli Jeeva Deva Dayakar,56,IND,No,Others,,"8,00,000~ 8 Lacs+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=6107,10,ELURU
Karumuri Sunil Kumar,33,YSRCP,No,Graduate,,"18,71,00,000~ 18 Crore+",,"1,02,00,000~ 1 Crore+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=5274,10,ELURU
Kavuri Lavanya,47,INC,No,Post Graduate,,"35,06,90,000~ 35 Crore+",,"3,43,00,000~ 3 Crore+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=5275,10,ELURU
Nitta Akhila Dharani Pal,65,BSP,No,Doctorate,,"1,49,50,000~ 1 Crore+",,"38,00,000~ 38 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=6110,10,ELURU
Putta Mahesh Kumar,36,TDP,Yes   1,Graduate Professional,,"23,47,07,095~ 23 Crore+",,"20,04,30,056~ 20 Crore+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=5105,10,ELURU
Rajeswara Rao Kondru,44,Bharatheeya Jawan Kisan Party,No,10th Pass,,"40,00,000~ 40 Lacs+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=6108,10,ELURU
Rudrapaka Ratna Rao (R.R.R),70,Andhra Rastra Praja Samithi,No,Post Graduate,,"5,00,000~ 5 Lacs+",,"1,08,000~ 1 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=6114,10,ELURU
Idrish G Mulla,57,IND,Yes   1,5th Pass,,"1,14,16,666~ 1 Crore+",,"25,00,000~ 25 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=4761,101,DAMAN & DIU
Ketan Dahyabhai Patel,49,INC,Yes   4,Others,,"11,81,00,000~ 11 Crore+",,"2,99,48,844~ 2 Crore+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=4764,101,DAMAN & DIU
Lalubhai Babubhai Patel,68,BJP,No,10th Pass,,"24,82,43,460~ 24 Crore+",,"2,77,83,055~ 2 Crore+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=3451,101,DAMAN & DIU
Patel Umeshbhai Babu,53,IND,No,5th Pass,,0~,,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=4762,101,DAMAN & DIU
Patel Umeshbhai Babubhai,47,IND,Yes   14,Graduate,,"9,51,200~ 9 Lacs+",,"4,06,981~ 4 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=3667,101,DAMAN & DIU
Sakil Latif Khan,37,IND,Yes   1,5th Pass,,0~,,"1,50,000~ 1 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=4763,101,DAMAN & DIU
Umesh Patel,37,Navsarjan Bharat Party,No,12th Pass,,"70,56,000~ 70 Lacs+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=4149,101,DAMAN & DIU
Ajit Ramjibhai Mahala,47,INC,No,Graduate Professional,,"50,39,304~ 50 Lacs+",,"49,55,000~ 49 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=4759,102,DADAR & NAGAR HAVELI (ST)
Borsa Sandipbhai Shankarbhai,34,BSP,No,12th Pass,,"2,50,000~ 2 Lacs+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=4082,102,DADAR & NAGAR HAVELI (ST)
Delkar Kalaben Mohanbhai,53,BJP,No,Graduate,,"60,16,40,920~ 60 Crore+",,"1,58,39,426~ 1 Crore+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=3666,102,DADAR & NAGAR HAVELI (ST)
Kurada Deepakbhai,38,Bharat Adivasi Party,No,Graduate Professional,,0~,,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=3429,102,DADAR & NAGAR HAVELI (ST)
Shaileshbhai Vartha,32,IND,No,Post Graduate,,0~,,"2,87,120~ 2 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=4760,102,DADAR & NAGAR HAVELI (ST)
Abul Kalam Azad,48,BSP,No,Graduate Professional,,"30,00,000~ 30 Lacs+",,"10,44,407~ 10 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8182,103,CHANDNI CHOWK
Ashok Kumar Gupta,64,IND,No,12th Pass,,0~,,"3,50,000~ 3 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8201,103,CHANDNI CHOWK
Guljar Singh,63,Peoples Party of India (Democratic),No,Graduate,,"75,00,000~ 75 Lacs+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8184,103,CHANDNI CHOWK
Heena,30,Public Political Party,No,8th Pass,,0~,,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8200,103,CHANDNI CHOWK
Jai Prakash Agarwal,79,INC,No,Graduate,,"11,99,40,000~ 11 Crore+",,"50,97,922~ 50 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=7897,103,CHANDNI CHOWK
Manoj Kumar Nigam,55,Akhil Bhartiya Sudhar Party,No,Post Graduate,,"1,09,49,347~ 1 Crore+",,"10,00,000~ 10 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8186,103,CHANDNI CHOWK
Md Nazir,50,Aman Samaj Party,No,5th Pass,,"56,00,000~ 56 Lacs+",,"4,00,000~ 4 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8185,103,CHANDNI CHOWK
Mohd Hamid,42,Bharatheeya Jawan Kisan Party,No,5th Pass,,0~,,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8199,103,CHANDNI CHOWK
Praveen Khandelwal,64,BJP,No,Graduate Professional,,"9,08,00,000~ 9 Crore+",,"6,06,45,587~ 6 Crore+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=7896,103,CHANDNI CHOWK
Pyush Narula,46,IND,No,12th Pass,,"17,10,00,000~ 17 Crore+",,"7,55,00,000~ 7 Crore+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8202,103,CHANDNI CHOWK
Rahul Sharma,27,Rashtriya Mangalam Party,No,Graduate,,0~,,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8189,103,CHANDNI CHOWK
Rajesh Gupta,66,Bharat Lok Sewak Party,No,Others,,"3,50,00,000~ 3 Crore+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8188,103,CHANDNI CHOWK
Ritu Kaushik,45,SUCI(C),No,Post Graduate,,0~,,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8190,103,CHANDNI CHOWK
Sameer Mirza,34,Rashtriya Republican Party,No,12th Pass,,0~,,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8196,103,CHANDNI CHOWK
Satya Dev Chaudhary,72,Satya Bahumat Party,No,Graduate,,"80,00,000~ 80 Lacs+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8195,103,CHANDNI CHOWK
Seema Rizvi,41,Azad Samaj Party,Yes   1,8th Pass,,0~,,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8197,103,CHANDNI CHOWK
Shaik Jaleel,49,Navarang Congress Party,Yes   6,5th Pass,,"8,10,00,000~ 8 Crore+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8193,103,CHANDNI CHOWK
Shivam Saini,28,Right to Recall Party,No,Graduate,,0~,,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8192,103,CHANDNI CHOWK
Shyam Bharteey,54,Gareeb Aadmi Party,No,12th Pass,,"3,50,00,000~ 3 Crore+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8194,103,CHANDNI CHOWK
Soharsh Gulgulia Jain,37,Swaraj Bhartiya Nyay Party,No,Post Graduate,,"45,00,000~ 45 Lacs+",,"25,50,000~ 25 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8198,103,CHANDNI CHOWK
Subhash Chander,67,IND,No,12th Pass,,"3,20,00,000~ 3 Crore+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8204,103,CHANDNI CHOWK
Sunil Kumar,49,IND,No,Graduate,,"55,00,000~ 55 Lacs+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8203,103,CHANDNI CHOWK
Umesh Rathor,54,Atulya Bharat Party,No,10th Pass,,0~,,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8183,103,CHANDNI CHOWK
Vinod Kumar Gupta,48,Akhil Bhartiya Parivar Party,No,Graduate,,"20,50,000~ 20 Lacs+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8191,103,CHANDNI CHOWK
Yogender Singh,48,Bharatiya Liberal Party,No,10th Pass,,"2,85,00,000~ 2 Crore+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8187,103,CHANDNI CHOWK
Adv. Bhim Kishor,33,Peoples Party of India (Democratic),Yes   2,Graduate Professional,,0~,,"40,000~ 40 Thou+",N,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8233,104,NORTH EAST DELHI
Adv. K.T. Paluskar,66,Prabuddha Republican Party,No,Post Graduate,,0~,,0~,N,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8230,104,NORTH EAST DELHI
Ajay Tiwari,40,Right to Recall Party,No,12th Pass,,"2,30,00,000~ 2 Crore+",,"1,22,11,000~ 1 Crore+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8224,104,NORTH EAST DELHI
Akash Srivastav,28,Jai Hind National Party,Yes   1,Post Graduate,,0~,,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8225,104,NORTH EAST DELHI
Akeshan Dut,30,IND,No,Graduate,,0~,,"41,400~ 41 Thou+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8240,104,NORTH EAST DELHI
Ashok Kumar,66,BSP,No,Graduate Professional,,"3,27,04,600~ 3 Crore+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8223,104,NORTH EAST DELHI
Ashok Mishra,46,IND,No,Graduate Professional,,"1,85,00,000~ 1 Crore+",,"28,95,000~ 28 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8241,104,NORTH EAST DELHI
Babita Yadav,38,Aazad Samaj Party (Kanshi Ram),No,Post Graduate,,"3,00,00,000~ 3 Crore+",,"27,000~ 27 Thou+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8232,104,NORTH EAST DELHI
Birpal Singh Koli,54,IND,No,8th Pass,,0~,,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8242,104,NORTH EAST DELHI
Dr. Rajesh Kumar Singh,54,IND,No,Post Graduate,,"1,81,00,000~ 1 Crore+",,"48,69,362~ 48 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8246,104,NORTH EAST DELHI
Ishwar Chand,71,Bharatrashtra Democratic Party,No,Graduate Professional,,"1,96,00,000~ 1 Crore+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8226,104,NORTH EAST DELHI
Jagdish,44,Rashtriya Samaj Paksha,Yes   1,Illiterate,,"1,05,00,000~ 1 Crore+",,"16,20,000~ 16 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8228,104,NORTH EAST DELHI
Kanhaiya Kumar,37,INC,Yes   6,Doctorate,,"2,65,000~ 2 Lacs+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=7902,104,NORTH EAST DELHI
Kanhi Lal,46,Swatantra Jantaraj Party,No,Graduate Professional,,"40,00,000~ 40 Lacs+",,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8227,104,NORTH EAST DELHI
Lakshya Vashist (Shyam),39,Jindabad Kranti Party,No,Graduate Professional,,0~,,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8234,104,NORTH EAST DELHI
Manoj Kumar,39,IND,No,12th Pass,,0~,,0~,Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8243,104,NORTH EAST DELHI
Manoj Tiwari,53,BJP,Yes   2,Post Graduate,,"21,02,00,000~ 21 Crore+",,"1,01,71,659~ 1 Crore+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=7903,104,NORTH EAST DELHI
Nivedita Sharma “Prem”,57,Rashtrawadi Janlok Party (Satya),Yes   1,Graduate,,"1,50,00,000~ 1 Crore+",,"28,00,000~ 28 Lacs+",Y,http://myneta.info/LokSabha2024/candidate.php?candidate_id=8229,104,NORTH EAST DELHI
