Name,Age,Party Code,Criminal Cases,Education Level,Movable Assets,Immovable Assets,Total Assets,Total Liabilities,PAN Given(Y/N),candidate_link,constituency_id,constituency_name
Abhinandan Panda,36,BJP,Yes   6,Graduate,,"1,53,00,000~ 1 Crore+",,"87,92,366~ 87 Lacs+",Y,http://myneta.info/Odisha2024/candidate.php?candidate_id=22,1,NUAPADA
Bhujabal Adabang,62,IND,No,8th Pass,,"1,00,000~ 1 Lacs+",,0~,N,http://myneta.info/Odisha2024/candidate.php?candidate_id=183,1,NUAPADA
Ghasiram Majhi,62,IND,Yes   19,Graduate Professional,,"1,25,00,000~ 1 Crore+",,"1,17,120~ 1 Lacs+",Y,http://myneta.info/Odisha2024/candidate.php?candidate_id=182,1,NUAPADA
Lochan Singh Majhi,44,SP,Yes   1,8th Pass,,0~,,"40,000~ 40 Thou+",Y,http://myneta.info/Odisha2024/candidate.php?candidate_id=181,1,NUAPADA
Rajendra Dholakia,68,BJD,Yes   1,Graduate,,"1,25,35,000~ 1 Crore+",,"30,00,000~ 30 Lacs+",Y,http://myneta.info/Odisha2024/candidate.php?candidate_id=178,1,NUAPADA
Sarat Pattanayak,68,INC,No,Graduate Professional,,"5,75,09,000~ 5 Crore+",,"20,89,441~ 20 Lacs+",Y,http://myneta.info/Odisha2024/candidate.php?candidate_id=179,1,NUAPADA
Sukdhar Dandsena,67,BSP,No,8th Pass,,"15,00,000~ 15 Lacs+",,"1,50,000~ 1 Lacs+",Y,http://myneta.info/Odisha2024/candidate.php?candidate_id=180,1,NUAPADA
Chhayakanti Khamari,51,IND,No,10th Pass,,"25,00,000~ 25 Lacs+",,0~,Y,http://myneta.info/Odisha2024/candidate.php?candidate_id=167,10,BHAWANIPATNA (SC)
Duryodhan Thakur,56,SP,No,Graduate Professional,,0~,,"2,00,000~ 2 Lacs+",Y,http://myneta.info/Odisha2024/candidate.php?candidate_id=166,10,BHAWANIPATNA (SC)
Lalita Naik,50,BJD,No,12th Pass,,"3,09,16,300~ 3 Crore+",,"95,33,505~ 95 Lacs+",Y,http://myneta.info/Odisha2024/candidate.php?candidate_id=13,10,BHAWANIPATNA (SC)
Mahendra Dhangada Majhi,41,IND,No,Graduate,,0~,,0~,Y,http://myneta.info/Odisha2024/candidate.php?candidate_id=168,10,BHAWANIPATNA (SC)
Pradipta Kumar Naik,57,BJP,No,Graduate Professional,,"4,35,28,000~ 4 Crore+",,"81,22,178~ 81 Lacs+",Y,http://myneta.info/Odisha2024/candidate.php?candidate_id=10,10,BHAWANIPATNA (SC)
Ramesh Kumar Mahanand,48,IND,No,Graduate,,0~,Nil,0~,Y,http://myneta.info/Odisha2024/candidate.php?candidate_id=169,10,BHAWANIPATNA (SC)
Ramesh Naik,34,AAP,Yes   2,8th Pass,,"20,90,000~ 20 Lacs+",,0~,Y,http://myneta.info/Odisha2024/candidate.php?candidate_id=163,10,BHAWANIPATNA (SC)
Rohit Durga,42,IND,Yes   1,12th Pass,,"1,60,000~ 1 Lacs+",,0~,Y,http://myneta.info/Odisha2024/candidate.php?candidate_id=170,10,BHAWANIPATNA (SC)
Sagar Charan Das,33,INC,Yes   1,Graduate,,"51,00,000~ 51 Lacs+",,"43,41,191~ 43 Lacs+",Y,http://myneta.info/Odisha2024/candidate.php?candidate_id=164,10,BHAWANIPATNA (SC)
Sanjaya Sunani,34,IND,No,8th Pass,,"5,00,000~ 5 Lacs+",,0~,Y,http://myneta.info/Odisha2024/candidate.php?candidate_id=162,10,BHAWANIPATNA (SC)
