Name,Age,Party Code,Criminal Cases,Education Level,Movable Assets,Immovable Assets,Total Assets,Total Liabilities,PAN Given(Y/N),candidate_link,constituency_id,constituency_name
Jigmey Bhutia,43,Citizen Action Party-Sikkim,No,Post Graduate,,"97,75,144~ 97 Lacs+",,"95,50,000~ 95 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=146,1,YUKSOM TASHIDING (BL)
Kamal Lepcha,42,INC,No,5th Pass,,0~,,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=151,1,YUKSOM TASHIDING (BL)
Kunzang Sherab Bhutia,46,BJP,No,10th Pass,,"34,87,357~ 34 Lacs+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=144,1,YUKSOM TASHIDING (BL)
Meewang Gyatso Bhutia,32,Sikkim Democratic Front,No,Others,,"39,29,689~ 39 Lacs+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=147,1,YUKSOM TASHIDING (BL)
Palden Lepcha,60,IND,No,12th Pass,,"1,08,19,780~ 1 Crore+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=145,1,YUKSOM TASHIDING (BL)
Sonam Palzor Bhutia,75,IND,No,Others,,"71,89,446~ 71 Lacs+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=149,1,YUKSOM TASHIDING (BL)
Tshering Thendup Bhutia,59,Sikkim Krantikari Morcha,No,Graduate,,"6,95,70,945~ 6 Crore+",,"25,19,191~ 25 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=150,1,YUKSOM TASHIDING (BL)
Arjun Rai,45,BJP,No,5th Pass,,"2,65,00,000~ 2 Crore+",,"2,04,05,587~ 2 Crore+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=80,10,POKLOK-KAMRANG
Bhoj Raj Rai,60,Sikkim Krantikari Morcha,No,12th Pass,,"20,18,75,206~ 20 Crore+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=79,10,POKLOK-KAMRANG
Pawan Kumar Chamling,73,Sikkim Democratic Front,No,Doctorate,,"20,96,30,000~ 20 Crore+",,"5,37,12,180~ 5 Crore+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=82,10,POKLOK-KAMRANG
Sanju Rai,50,Citizen Action Party-Sikkim,No,10th Pass,,"57,30,000~ 57 Lacs+",,"30,00,000~ 30 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=81,10,POKLOK-KAMRANG
Aruna Manger,47,BJP,No,12th Pass,,"5,90,00,000~ 5 Crore+",,"2,12,57,067~ 2 Crore+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=71,11,NAMCHI-SINGHITHANG
Bimal Rai,56,Sikkim Democratic Front,No,Graduate,,"2,35,00,000~ 2 Crore+",,"4,72,216~ 4 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=74,11,NAMCHI-SINGHITHANG
Krishna Kumari Rai,47,Sikkim Krantikari Morcha,No,Graduate,,"2,75,84,700~ 2 Crore+",,"15,00,000~ 15 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=72,11,NAMCHI-SINGHITHANG
Mahesh Rai,29,Citizen Action Party-Sikkim,No,Graduate Professional,,"10,00,000~ 10 Lacs+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=73,11,NAMCHI-SINGHITHANG
